question,answer,category
How do I track my order?,You can track your order using the tracking number sent to your email. Visit the carrier's website or use our order tracking page.,order_tracking
What is your return policy?,We accept returns within 30 days of purchase. The item must be in original condition. Shipping costs are the customer's responsibility.,refund
How long does shipping take?,Standard shipping takes 5-7 business days. Express shipping takes 2-3 business days. International orders may take 2-4 weeks.,delivery
Do you offer international shipping?,"Yes, we ship to over 150 countries. Shipping costs and delivery times vary by location.",delivery
How do I cancel my order?,Orders can be cancelled within 24 hours of placement if they haven't shipped yet. Contact our support team for assistance.,order_tracking
What payment methods do you accept?,"We accept all major credit cards, PayPal, Apple Pay, and Google Pay.",payment
Is my payment information secure?,"Yes, we use SSL encryption and comply with PCI DSS standards to protect your payment information.",payment
How do I reset my password?,Click on 'Forgot Password' on the login page and follow the instructions sent to your email.,account
Can I change my email address?,"Yes, go to your account settings and update your email address. You'll need to verify it with a confirmation email.",account
What should I do if I receive a damaged product?,Contact our support team immediately with photos of the damage. We'll arrange a replacement or refund.,product_issue
